SKU,Produto,Qtd Vendida,Data,Bairro,Preço Unitário,Nome,Sobrenome,Gênero
HL1918,Ostras,20,2020-01-04,Barroso,"R$ 70,00",Rafael,Chafin,M
HL7348,Camarão,10,2020-01-04,Parque Santa Maria,"R$ 60,00",Marcela,Alves,F
HL1918,Camarão,15,2020-01-04,Conjunto Palmeiras,"R$ 28,00",Livia,Barros,F
HL4379,Carangueijo,25,2020-01-04,Olavo Oliveira,"R$ 45,00",Fernanda,Mello,F
HL4379,Camarão,20,2020-01-04,Cidade 2000,"R$ 60,00",Fabio,Ribeiro,M
HL1918,Polvo,5,2020-01-04,Jardim Iracema,"R$ 55,00",Ives,Santos,F
HL7348,Polvo,15,2020-01-04,Dom Lustosa,"R$ 55,00",Breno,Calmon,M
HL4379,Carangueijo,5,2020-01-04,Messejana,"R$ 45,00",Lucas,Lima,M
HL4379,Camarão,15,2020-01-04,Messejana,"R$ 28,00",Beatriz,Teixeira,F
HL8851,Carangueijo,10,2020-01-04,Damas,"R$ 45,00",Cecília,Nóbrega,F
HL1918,Camarão,25,2020-01-04,Farias Brito,"R$ 60,00",Rafaela,Ferreira,F
HL4379,Camarão,10,2020-01-04,Montese,"R$ 28,00",Vanessa,Bach,F
HL1918,Peixes,15,2020-01-05,Aerolândia,"R$ 15,00",Amanda,Guedes,F
HL9962,Peixes,5,2020-01-05,Messejana,"R$ 15,00",Tainah,Arruda,F
HL1918,Mexilhões,20,2020-01-05,Vila Velha,"R$ 20,00",Izabel,Carneiro,F
HL4379,Mexilhões,15,2020-01-05,Barra do Ceará,"R$ 20,00",Thiago,Dantas,M
HL4379,Ostras,25,2020-01-05,Ancuri,"R$ 70,00",Marianna,Almeida,F
HL4379,Mexilhões,15,2020-01-05,Parque Dois Irmãos,"R$ 20,00",Stela,Neves,F
HL1918,Peixes,20,2020-01-05,Conjunto Palmeiras,"R$ 15,00",Brenno,Rodriguez,M
HL4379,Peixes,25,2020-01-05,Paupina,"R$ 15,00",Gabriel,Rocha,M
HL1148,Ostras,15,2020-01-05,Autran Nunes,"R$ 70,00",Beatriz,Barreira,F
HL1918,Peixes,15,2020-01-05,Bom Jardim,"R$ 15,00",Pedro,Rotava,M
HL1918,Polvo,5,2020-01-05,Bom Jardim,"R$ 55,00",Ana,Pedrazza,F
HL4379,Peixes,10,2020-01-05,Montese,"R$ 15,00",Diego,Santos,M
HL7348,Polvo,20,2020-01-05,Serrinha,"R$ 55,00",Pedro,Dias,M
HL4379,Camarão,20,2020-01-05,Barroso,"R$ 28,00",Julia,Neves,F
HL1918,Camarão,15,2020-01-05,Quintino Cunha,"R$ 28,00",Caio,Mesquita,M
HL4379,Polvo,10,2020-01-06,Lagoa Redonda,"R$ 55,00",Ana,Essaber,F
HL1148,Camarão,20,2020-01-06,Messejana,"R$ 60,00",Raphael,Azevedo,M
HL4379,Ostras,20,2020-01-06,Siqueira,"R$ 70,00",Brenno,Lopes,M
HL7348,Camarão,10,2020-01-06,Henrique Jorge,"R$ 60,00",Carolina,Andrade,F
HL4379,Polvo,15,2020-01-06,Edson Queiroz,"R$ 55,00",Juliana,Paulo,F
HL2714,Carangueijo,10,2020-01-06,Vila Velha,"R$ 45,00",Ana,Assis,F
HL9962,Polvo,10,2020-01-06,Granja Portugal,"R$ 55,00",Isabel,Gontijo,F
HL9962,Polvo,5,2020-01-06,Aldeota,"R$ 55,00",Miguel,Alfradique,M
HL2714,Polvo,20,2020-01-06,Henrique Jorge,"R$ 55,00",Rubens,Medeiros,M
HL4379,Carangueijo,10,2020-01-06,Jardim das Oliveiras,"R$ 45,00",Sandy,Santos,F
HL9962,Mexilhões,10,2020-01-06,Olavo Oliveira,"R$ 20,00",Daniel,Morelli,M
HL7348,Carangueijo,15,2020-01-06,Bom Jardim,"R$ 45,00",Júlio,Jordao,M
HL8851,Polvo,5,2020-01-06,Fátima,"R$ 55,00",Milena,Johnson,F
HL4379,Carangueijo,25,2020-01-06,Conjunto Esperança,"R$ 45,00",Sarah,Guedes,F
HL8851,Peixes,20,2020-01-06,Mondubim,"R$ 15,00",Gabriella,Essaber,F
HL8851,Polvo,20,2020-01-06,Mondubim,"R$ 55,00",Gabriel,Dias,M
HL8851,Carangueijo,25,2020-01-06,Parangaba,"R$ 45,00",Leandro,Corrêa,M
HL9962,Peixes,5,2020-01-06,Edson Queiroz,"R$ 15,00",Rebeca,Silva,F
HL1148,Carangueijo,15,2020-01-06,Itaperi,"R$ 45,00",Luis,Silva,F
HL4379,Camarão,25,2020-01-06,Mondubim,"R$ 28,00",Eduardo,Figueiredo,M
HL4379,Mexilhões,15,2020-01-06,Edson Queiroz,"R$ 20,00",Laura,Gonçalves,F
HL2714,Camarão,10,2020-01-06,Antônio Bezerra,"R$ 60,00",Gabriela,Forte,F
HL1148,Ostras,5,2020-01-06,Ancuri,"R$ 70,00",Thiago,Quinto,M
HL8851,Camarão,15,2020-01-06,Parque Araxá,"R$ 60,00",Lucas,Carneiro,M
HL1918,Camarão,25,2020-01-06,Bela Vista,"R$ 60,00",Milena,Bitencourt,F
HL8851,Polvo,25,2020-01-06,Edson Queiroz,"R$ 55,00",Juliana,Santos,F
HL7348,Camarão,5,2020-01-06,Bonsucesso,"R$ 28,00",Mateus,Castro,M
HL4379,Polvo,20,2020-01-06,Jardim Iracema,"R$ 55,00",João,Cardoso,M
HL1918,Camarão,20,2020-01-07,Cidade 2000,"R$ 60,00",Roberto,Filho,M
HL9962,Camarão,20,2020-01-07,Pedras,"R$ 28,00",Lucas,Souza,M
HL2714,Peixes,20,2020-01-07,Jóquei Clube,"R$ 15,00",Raíza,Goes,F
HL2714,Camarão,25,2020-01-07,Jangurussu,"R$ 28,00",Gustavo,Assis,M
HL1918,Peixes,5,2020-01-07,Quintino Cunha,"R$ 15,00",Vivianne,Mello,F
HL9962,Peixes,10,2020-01-07,Passaré,"R$ 15,00",Eric,Souza,M
HL1148,Polvo,10,2020-01-07,Henrique Jorge,"R$ 55,00",Hanna,Provenzano,F
HL1918,Peixes,15,2020-01-07,Vila Peri,"R$ 15,00",João,Motta,M
HL7348,Peixes,5,2020-01-07,Floresta,"R$ 15,00",Stefan,Dias,M
HL1918,Ostras,15,2020-01-07,Fátima,"R$ 70,00",Thiago,Rodrigues,M
HL8851,Camarão,15,2020-01-07,Barroso,"R$ 28,00",Hércules,Ventura,M
HL7348,Ostras,15,2020-01-07,Mondubim,"R$ 70,00",Rafael,Freire,M
HL4379,Mexilhões,15,2020-01-07,Olavo Oliveira,"R$ 20,00",Matheus,Sagrillo,M
HL4379,Camarão,10,2020-01-07,Quintino Cunha,"R$ 28,00",Daniel,Cavalcanti,M
HL4379,Camarão,5,2020-01-07,Barroso,"R$ 28,00",Juliana,Jorge,F
HL8851,Ostras,10,2020-01-07,Edson Queiroz,"R$ 70,00",Clara,Cordovil,F
HL9962,Polvo,25,2020-01-07,Centro,"R$ 55,00",Arthur,Campos,M
HL8851,Carangueijo,20,2020-01-07,Antônio Bezerra,"R$ 45,00",Vanessa,Teraoka,F
HL4379,Mexilhões,10,2020-01-07,Pici,"R$ 20,00",Thiago,Silva,M
HL8851,Carangueijo,10,2020-01-07,Bom Jardim,"R$ 45,00",Bruno,Wajnsztok,M
HL1918,Carangueijo,5,2020-01-07,Fátima,"R$ 45,00",Stephanie,Cavalcanti,F
HL4379,Ostras,25,2020-01-07,Dom Lustosa,"R$ 70,00",Dandara,Brandão,F
HL1918,Camarão,25,2020-01-07,Conjunto Ceará,"R$ 60,00",Sthefeson,Porto,M
HL9962,Carangueijo,15,2020-01-07,Henrique Jorge,"R$ 45,00",Bernardo,Jesus,M
HL8851,Carangueijo,20,2020-01-07,Papicu,"R$ 45,00",Julia,Figueiredo,F
HL7348,Carangueijo,20,2020-01-07,Vicente Pinzon,"R$ 45,00",Dandara,Nauenberg,F
HL8851,Mexilhões,10,2020-01-07,Amadeu Furtado,"R$ 20,00",Letícia,Provenzano,F
HL4379,Mexilhões,5,2020-01-07,Aldeota,"R$ 20,00",Camilla,Guimarães,F
HL1918,Mexilhões,20,2020-01-07,Floresta,"R$ 20,00",Luis,Martins,F
HL1148,Camarão,20,2020-01-07,Jardim Guanabara,"R$ 60,00",Bernardo,Perdomo,M
HL8851,Mexilhões,10,2020-01-07,Parque Genibaú,"R$ 20,00",Lucas,Campos,M
HL8851,Mexilhões,5,2020-01-07,Rodolfo Teófilo,"R$ 20,00",Lucas,Mello,M
HL1918,Carangueijo,15,2020-01-08,Messejana,"R$ 45,00",Tiago,Capitulo,M
HL1918,Camarão,20,2020-01-08,Boa Vista,"R$ 28,00",Renan,Correa,M
HL1918,Mexilhões,5,2020-01-08,Rodolfo Teófilo,"R$ 20,00",Beatriz,Silveira,F
HL1918,Ostras,15,2020-01-08,José de Alencar,"R$ 70,00",Roberta,Penteado,F
HL7348,Polvo,5,2020-01-08,Joaquim Távora,"R$ 55,00",Daniela,Cavalcanti,F
HL1918,Polvo,15,2020-01-08,Barroso,"R$ 55,00",João,Ferreira,M
HL9962,Polvo,25,2020-01-08,Pedras,"R$ 55,00",Paulo,Dias,M
HL9962,Camarão,10,2020-01-08,Mondubim,"R$ 60,00",Amanda,Veiga,F
HL1148,Ostras,15,2020-01-08,Henrique Jorge,"R$ 70,00",Isabella,Kohn,F
HL8851,Polvo,5,2020-01-08,Mondubim,"R$ 55,00",Camilla,Guadagnino,F
HL1148,Camarão,15,2020-01-08,Barroso,"R$ 60,00",Camilla,Silva,F
HL9962,Camarão,15,2020-01-08,Edson Queiroz,"R$ 60,00",Maria,Figueiredo,F
HL8851,Camarão,10,2020-01-08,Conjunto Esperança,"R$ 28,00",Beatriz,Campista,F
HL7348,Mexilhões,25,2020-01-08,Barra do Ceará,"R$ 20,00",Leandro,Figueiredo,M
HL1148,Peixes,15,2020-01-08,Presidente Kennedy,"R$ 15,00",Matheus,Neto,M
HL8851,Peixes,20,2020-01-08,Sabiaguaba,"R$ 15,00",Victor,Perdomo,M
HL4379,Ostras,5,2020-01-08,Vila Velha,"R$ 70,00",Juliana,Seixas,F
HL7348,Camarão,10,2020-01-08,Bom Jardim,"R$ 60,00",Debora,Capitulo,F
HL1148,Carangueijo,15,2020-01-08,Parque Santa Maria,"R$ 45,00",Letícia,Ferreira,F
HL4379,Carangueijo,25,2020-01-08,Bom Jardim,"R$ 45,00",Tainah,Xavier,F
HL1918,Camarão,15,2020-01-08,Vila Velha,"R$ 60,00",Bruna,Santos,F
HL9962,Mexilhões,5,2020-01-08,Sapiranga,"R$ 20,00",Letícia,Cavalcanti,F
HL4379,Camarão,20,2020-01-08,Bom Jardim,"R$ 28,00",Thaís,Provenzano,F
HL9962,Polvo,5,2020-01-08,Lagoa Redonda,"R$ 55,00",Breno,Godoy,M
HL4379,Camarão,20,2020-01-08,Jardim Cearense,"R$ 60,00",Adriane,Pereira,F
HL1918,Camarão,5,2020-01-08,Álvaro Weyne,"R$ 28,00",Jonatas,Mesquita,M
HL1918,Ostras,10,2020-01-08,Parque Dois Irmãos,"R$ 70,00",Maria,Seixas,F
HL8851,Ostras,10,2020-01-08,São João do Tauape,"R$ 70,00",Ruan,Júnior,M
HL8851,Camarão,10,2020-01-08,Rodolfo Teófilo,"R$ 60,00",Camila,Pedrazza,F
HL7348,Camarão,25,2020-01-08,Engenheiro Luciano Cavalcante,"R$ 60,00",Andressa,Viríssimo,F
HL8851,Peixes,15,2020-01-08,Cajazeiras,"R$ 15,00",Eric,Pereira,M
HL8851,Camarão,25,2020-01-08,Centro,"R$ 60,00",Beatriz,Marinho,F
HL1918,Peixes,20,2020-01-09,Mondubim,"R$ 15,00",Thayane,Oliveira,F
HL4379,Camarão,15,2020-01-09,Olavo Oliveira,"R$ 28,00",Gustavo,Netto,M
HL1918,Mexilhões,5,2020-01-09,Planalto Ayrton Senna,"R$ 20,00",Pedro,Figueiredo,M
HL1918,Ostras,25,2020-01-09,Barra do Ceará,"R$ 70,00",Jéssica,Ferrari,F
HL9962,Carangueijo,15,2020-01-09,Itaoca,"R$ 45,00",Breno,Allevato,M
HL2714,Mexilhões,25,2020-01-09,Pedras,"R$ 20,00",Brenno,Freire,M
HL2714,Polvo,5,2020-01-09,Siqueira,"R$ 55,00",Bianca,Capitulo,F
HL9962,Carangueijo,5,2020-01-09,Aerolândia,"R$ 45,00",Caroline,Araujo,F
HL8851,Carangueijo,25,2020-01-09,Barroso,"R$ 45,00",Carlos,Mendonça,M
HL1918,Camarão,5,2020-01-09,Barra do Ceará,"R$ 28,00",Isabel,Rotolo,F
HL1918,Camarão,20,2020-01-09,Ancuri,"R$ 60,00",Alon,Heimlich,M
HL1918,Mexilhões,10,2020-01-09,Messejana,"R$ 20,00",Vinícius,Lacerda,M
HL1918,Polvo,20,2020-01-09,Aerolândia,"R$ 55,00",Iuri,Miura,M
HL8851,Polvo,25,2020-01-09,João XXIII,"R$ 55,00",Barbara,Velucci,F
HL4379,Ostras,15,2020-01-09,Passaré,"R$ 70,00",Isabela,Affonso,F
HL8851,Mexilhões,10,2020-01-09,Prefeito José Walter,"R$ 20,00",Sylvio,Allevato,M
HL9962,Ostras,20,2020-01-09,Sabiaguaba,"R$ 70,00",Diego,Soares,M
HL1918,Mexilhões,10,2020-01-09,José Bonifácio,"R$ 20,00",Guilherme,Ramos,M
HL1918,Camarão,5,2020-01-09,Parque Dois Irmãos,"R$ 60,00",Luiza,Johnson,F
HL2714,Camarão,5,2020-01-09,Canindezinho,"R$ 28,00",Juliana,Rubim,F
HL8851,Mexilhões,25,2020-01-09,Siqueira,"R$ 20,00",Rafael,Galvão,M
HL8851,Camarão,15,2020-01-09,Rodolfo Teófilo,"R$ 60,00",Philipe,Silva,M
HL4379,Camarão,20,2020-01-09,Mondubim,"R$ 28,00",Raul,Correa,M
HL1918,Peixes,25,2020-01-09,Vila Velha,"R$ 15,00",Sandy,Silva,F
HL1918,Peixes,10,2020-01-09,Cajazeiras,"R$ 15,00",Ulisses,Aragão,M
HL4379,Carangueijo,15,2020-01-10,Prefeito José Walter,"R$ 45,00",Carolina,Monteiro,F
HL9962,Peixes,5,2020-01-10,Engenheiro Luciano Cavalcante,"R$ 15,00",Ramon,Vilela,M
HL7348,Carangueijo,15,2020-01-10,Siqueira,"R$ 45,00",Maria,Jordao,F
HL7348,Peixes,15,2020-01-10,Damas,"R$ 15,00",Livia,Silva,F
HL8851,Camarão,5,2020-01-10,Praia de Iracema,"R$ 28,00",Isabelle,Santos,F
HL4379,Camarão,20,2020-01-10,Papicu,"R$ 28,00",Amanda,Gouvêa,F
HL4379,Ostras,15,2020-01-10,Siqueira,"R$ 70,00",Júlia,Moura,F
HL9962,Mexilhões,25,2020-01-10,Mondubim,"R$ 20,00",Victor,Nauenberg,M
HL1918,Carangueijo,25,2020-01-10,Jacarecanga,"R$ 45,00",Julia,Heimlich,F
HL2714,Peixes,15,2020-01-10,Álvaro Weyne,"R$ 15,00",Bernardo,Miura,M
HL9962,Polvo,25,2020-01-10,Sabiaguaba,"R$ 55,00",Matheus,Campos,M
HL9962,Ostras,15,2020-01-10,Jardim das Oliveiras,"R$ 70,00",Letícia,Silva,F
HL1148,Camarão,20,2020-01-10,Boa Vista,"R$ 60,00",Victor,Silva,M
HL4379,Carangueijo,10,2020-01-10,Lagoa Redonda,"R$ 45,00",Leticia,Cabral,F
HL4379,Ostras,20,2020-01-10,Centro,"R$ 70,00",William,Jimbo,M
HL8851,Ostras,15,2020-01-10,Cais do Porto,"R$ 70,00",Vivianne,Pacheco,F
HL4379,Carangueijo,10,2020-01-10,Messejana,"R$ 45,00",Gabrielle,Kurtz,F
HL8851,Camarão,25,2020-01-10,Quintino Cunha,"R$ 60,00",Rojane,Mendonça,F
HL4379,Peixes,15,2020-01-10,Prefeito José Walter,"R$ 15,00",Luiza,Mello,F
HL4379,Peixes,25,2020-01-10,Lagoa Redonda,"R$ 15,00",Bernardo,Oliveira,M
HL9962,Peixes,5,2020-01-10,Siqueira,"R$ 15,00",Arthur,Junqueira,M
HL4379,Peixes,25,2020-01-10,Prefeito José Walter,"R$ 15,00",Carlos,Assis,M
HL7348,Polvo,5,2020-01-10,Rodolfo Teófilo,"R$ 55,00",João,Vianna,M
HL4379,Mexilhões,20,2020-01-10,Planalto Ayrton Senna,"R$ 20,00",Mariana,Freitas,F
HL1918,Peixes,25,2020-01-10,Quintino Cunha,"R$ 15,00",Ruan,Melo,M
HL9962,Camarão,10,2020-01-11,Jardim das Oliveiras,"R$ 60,00",Julia,Medeiros,F
HL1148,Carangueijo,10,2020-01-11,Montese,"R$ 45,00",Platini,Costa,M
HL1918,Carangueijo,15,2020-01-11,Sapiranga,"R$ 45,00",Debora,Chagas,F
HL8851,Polvo,15,2020-01-11,Vila União,"R$ 55,00",Barbara,Santos,F
HL9962,Ostras,20,2020-01-11,Barra do Ceará,"R$ 70,00",Matheus,Chou,M
HL1918,Camarão,5,2020-01-11,Mondubim,"R$ 28,00",Carolina,Franco,F
HL2714,Camarão,10,2020-01-11,Antônio Bezerra,"R$ 60,00",Bruno,Kurtz,M
HL2714,Polvo,10,2020-01-11,Prefeito José Walter,"R$ 55,00",Rafaela,Araujo,F
HL8851,Camarão,10,2020-01-11,Cambeba,"R$ 28,00",Milena,Tanaka,F
HL1918,Camarão,15,2020-01-11,Prefeito José Walter,"R$ 28,00",João,Miura,M
HL8851,Peixes,10,2020-01-11,Jangurussu,"R$ 15,00",Wen,Vianna,F
HL2714,Camarão,20,2020-01-11,Dom Lustosa,"R$ 60,00",Patrick,Ventura,M
HL9962,Polvo,25,2020-01-11,Jangurussu,"R$ 55,00",Gabrielle,Freire,F
HL7348,Ostras,15,2020-01-11,Cais do Porto,"R$ 70,00",Maria,Monteiro,F
HL1918,Camarão,15,2020-01-11,Varjota,"R$ 60,00",Julia,Souza,F
HL2714,Ostras,25,2020-01-11,Mondubim,"R$ 70,00",Antonio,Accardo,M
HL9962,Polvo,15,2020-01-11,Barroso,"R$ 55,00",Luis,Teixeira,F
HL1148,Ostras,20,2020-01-11,Conjunto Ceará,"R$ 70,00",Milena,Guedes,F
HL4379,Camarão,15,2020-01-11,Boa Vista,"R$ 28,00",Júlio,Carvalho,M
HL1918,Carangueijo,10,2020-01-11,Varjota,"R$ 45,00",Luiz,Mariz,M
HL1918,Peixes,20,2020-01-11,Sabiaguaba,"R$ 15,00",Joana,Freitas,F
HL1918,Peixes,10,2020-01-11,Passaré,"R$ 15,00",Isabella,Santos,F
HL4379,Ostras,15,2020-01-11,Dionisio Torres,"R$ 70,00",Rogério,Araujo,M
HL4379,Camarão,20,2020-01-11,Passaré,"R$ 28,00",Eduardo,Figueiredo,M
HL4379,Ostras,5,2020-01-11,Montese,"R$ 70,00",Lucas,Gonçalves,M
HL4379,Peixes,5,2020-01-11,Lagoa Redonda,"R$ 15,00",Bruna,Pereira,F
HL1918,Carangueijo,20,2020-01-11,Prefeito José Walter,"R$ 45,00",Luis,Mesquita,F
HL2714,Camarão,25,2020-01-11,José Bonifácio,"R$ 60,00",Bernardo,Villanova,M
